Time(s),Volume(dB),Delta(dB)
78.33333333333333,-96.0,0
78.335,-96.0,0.0
78.39516805555556,-96.0,0.0
78.43499027777777,3.0,99.0
78.46723055555556,3.0,0.0
78.48981388888889,-21.0,-24.0
78.50593333333333,-21.0,0.0
78.5287875,4.0,25.0
78.58122083333333,4.0,0.0
78.59051111111111,-7.0,-11.0
78.61920416666666,-7.0,0.0
78.6438,5.0,12.0
78.68256944444444,5.0,0.0
78.70166666666667,-96.0,-101.0
78.73438333333333,-96.0,0.0
78.78539722222222,0.0,96.0
78.99442222222223,0.0,0.0
79.01045972222222,-15.0,-15.0
79.07658194444444,-15.0,0.0
79.09176666666667,0.0,15.0
79.16945555555556,0.0,0.0
79.20276805555555,-19.0,-19.0
79.24185416666667,-19.0,0.0
79.27516666666666,0.0,19.0
79.34113611111111,0.0,0.0
79.36565833333333,-13.0,-13.0
79.46890555555555,-13.0,0.0
79.48924444444444,0.0,13.0
79.53333333333333,0.0,0.0
79.55270138888889,-21.0,-21.0
79.59666805555555,-21.0,0.0
79.61673333333333,0.0,21.0
79.81520555555555,-9.64327e-16,-9.64327e-16
79.835,-15.0,-14.999999999999998
79.865,-15.0,0.0
79.88479444444444,0.0,15.0
79.97699166666666,0.0,0.0
80.00166666666667,-32.0,-32.0
80.04401805555555,-32.0,0.0
80.06642777777778,0.0,32.0
80.38884444444444,0.0,0.0
80.40166666666667,-30.0,-30.0
80.4143375,-30.0,0.0
80.43245555555555,7.0,37.0
80.58047777777777,7.0,0.0
80.60333194444445,-31.0,-38.0
80.68065694444445,-31.0,0.0
80.71097083333333,1.0,32.0
81.03161805555555,1.0,0.0
81.04734027777778,-96.0,-97.0
81.4125,-96.0,0.0
81.43884305555555,0.0,96.0
81.45551111111111,0.221003,0.221003
81.47181944444445,-20.0,-20.221003
81.48996666666666,-20.0,0.0
81.50278888888889,0.478573,20.478573
81.57058333333333,1.0,0.521427
81.58270833333333,-9.0,-10.0
81.665,-9.0,0.0
81.68828055555555,1.0,10.0
81.8,1.0,0.0
81.8207625,-17.0,-18.0
81.84311527777778,-17.0,0.0
81.86666666666666,-2.0,15.0
82.01355555555556,-2.0,0.0
82.0285625,-96.0,-94.0
82.34104444444445,-96.0,0.0
82.3764875,1.0,97.0
82.45450694444445,1.0,0.0
82.46999861111111,-96.0,-97.0
82.53000138888889,-96.0,0.0
82.54906944444444,0.0,96.0
82.84282777777777,0.0,0.0
82.86359027777777,-96.0,-96.0
82.94983472222222,-96.0,0.0
83.01711944444445,4.0,100.0
83.112875,4.0,0.0
83.1295625,-35.0,-39.0
83.16731527777777,-35.0,0.0
83.18614861111111,2.0,37.0
83.564525,2.0,0.0
83.58835833333333,-96.0,-98.0
83.76534583333333,-96.0,0.0
83.79561666666666,0.0,96.0
83.98535833333334,0.0,0.0
84.00166666666667,-37.0,-37.0
84.03724444444444,-37.0,0.0
84.05893888888889,2.0,39.0
84.21241666666667,2.0,0.0
84.235,-23.0,-25.0
84.2585625,-23.0,0.0
84.28311805555556,2.0,25.0
84.5,2.0,0.0
84.50166666666667,-16.0,-18.0
84.5145,-16.0,0.0
84.53605,1.0,17.0
84.69734444444444,1.0,0.0
84.71113472222223,-34.0,-35.0
84.74743194444444,-34.0,0.0
84.76749722222222,11.0,45.0
84.86218611111111,12.0,1.0
84.88934305555556,-96.0,-108.0
84.91802916666667,-96.0,0.0
84.973075,12.0,108.0
85.04543055555555,-6.0,-18.0
85.09563055555556,8.0,14.0
85.10893055555556,8.0,0.0
85.12969305555555,-22.0,-30.0
85.14089027777777,-22.0,0.0
85.16723055555556,12.0,34.0
85.37853888888888,12.0,0.0
85.40021944444445,-96.0,-108.0
85.68833333333333,-96.0,0.0
85.7,-96.0,0.0
87.13333333333334,-96.0,0.0
87.13833333333334,-96.0,0.0
87.2519375,-96.0,0.0
87.27768055555556,2.0,98.0
87.58466111111112,2.0,0.0
87.60166666666667,-34.0,-36.0
87.61383888888889,-34.0,0.0
87.63821388888888,2.0,36.0
87.76666666666667,2.0,0.0
87.78742916666667,-23.0,-25.0
87.81605694444444,-23.0,0.0
87.84030555555556,2.0,25.0
88.0131138888889,2.0,0.0
88.03666527777777,-96.0,-98.0
88.05650416666667,-96.0,0.0
88.082725,1.0,97.0
88.361375,1.0,0.0
88.37829722222222,-15.0,-16.0
88.44831388888889,-15.0,0.0
88.46666666666667,1.0,16.0
88.57546388888889,1.0,0.0
88.61896388888889,-34.0,-35.0
88.65661527777777,-34.0,0.0
88.73891388888889,1.0,35.0
89.05620833333333,1.0,0.0
89.07504166666666,-31.0,-32.0
89.09332638888888,-31.0,0.0
89.11430555555556,0.0,31.0
89.20823333333334,0.0,0.0
89.26106805555555,-34.0,-34.0
89.29276666666667,-34.0,0.0
89.3299263888889,1.0,35.0
89.52566388888889,1.0,0.0
89.54816805555555,-13.0,-14.0
89.59156527777778,-13.0,0.0
89.61826111111111,1.0,14.0
89.63529166666666,1.0,0.0
89.65648055555556,-20.0,-21.0
89.69833333333334,-20.0,0.0
89.71324722222222,1.0,21.0
89.77747638888889,1.0,0.0
89.80080833333334,-96.0,-97.0
90.24333472222222,-96.0,0.0
90.26666666666667,-96.0,0.0
91.26666666666667,-96.0,0.0
91.2699986111111,-96.0,0.0
91.3,-96.0,0.0
91.30666666666667,-96.0,0.0
91.35198611111112,-96.0,0.0
91.38855833333334,-1.0,95.0
91.42666666666666,-1.0,0.0
91.43333333333334,2.0,3.0
91.5166,2.0,0.0
91.535,-12.0,-14.0
91.54408333333333,-12.0,0.0
91.56666666666666,2.0,14.0
92.63641944444444,2.0,0.0
92.66188333333334,-96.0,-98.0
94.33267638888888,-96.0,0.0
94.38261527777777,0.0,96.0
94.40461388888889,0.0,0.0
94.44044444444444,-36.0,-36.0
94.5183611111111,-36.0,0.0
94.57554166666667,-1.0,35.0
94.62553055555556,-1.0,0.0
94.65469583333334,-26.0,-25.0
94.6961875,-26.0,0.0
94.71430555555555,-1.0,25.0
95.18326666666667,-1.0,0.0
95.205,-23.0,-22.0
95.295,-23.0,0.0
95.3251,-1.0,22.0
95.68661944444445,-1.0,0.0
95.69804722222223,-22.0,-21.0
95.7148,-22.0,0.0
95.74017222222223,-1.0,21.0
96.4,-1.0,0.0
96.405,-14.0,-13.0
96.48663333333333,-14.0,0.0
96.5,-1.0,13.0
96.62915,-1.0,0.0
96.63868472222222,-24.0,-23.0
96.65570138888889,-24.0,0.0
96.67739583333334,3.0,27.0
96.81493888888889,3.0,0.0
96.841825,-14.0,-17.0
96.9771638888889,-14.0,0.0
97.00544444444445,1.0,15.0
97.16696388888889,1.0,0.0
97.18481111111112,-96.0,-97.0
98.13435416666667,-96.0,0.0
98.15935416666666,0.0,96.0
98.7,0.0,0.0
98.71,-96.0,-96.0
98.94438333333333,-96.0,0.0
99.07848888888888,0.0,96.0
99.14143333333334,-9.64327e-16,-9.64327e-16
99.16122777777778,-96.0,-96.0
99.21632777777778,-96.0,0.0
99.23333333333333,-9.64327e-16,96.0
99.36666666666666,0.0,9.64327e-16
99.36999861111111,-8.0,-8.0
99.43000138888888,-8.0,0.0
99.460525,-9.64327e-16,7.999999999999999
99.49345833333334,0.0,9.64327e-16
99.51685833333333,-96.0,-96.0
99.62779444444445,-96.0,0.0
99.75717222222222,0.0,96.0
99.81381111111111,0.0,0.0
99.835,-29.0,-29.0
99.88452222222222,-29.0,0.0
99.90764722222222,0.0,29.0
100.05341944444444,0.0,0.0
100.07166666666667,-22.0,-22.0
100.09055,-22.0,0.0
100.11995277777778,-9.64327e-16,22.0
100.79828472222222,0.0,9.64327e-16
100.81591527777778,-96.0,-96.0
100.99166805555555,-96.0,0.0
101.0,-96.0,0.0
103.3,-96.0,0.0
103.305,-96.0,0.0
103.4014375,-96.0,0.0
103.42575,0.0,96.0
103.43041111111111,0.0,0.0
103.44741666666667,-18.0,-18.0
103.49903055555555,-18.0,0.0
103.52300833333334,-9.64327e-16,18.0
103.57951388888888,0.0,9.64327e-16
103.60349166666667,-31.0,-31.0
103.72039166666667,-31.0,0.0
103.7629125,2.0,33.0
104.12403472222222,2.0,0.0
104.14189583333334,-96.0,-98.0
104.45482361111111,-96.0,0.0
104.48884722222222,0.0,96.0
104.57964722222222,0.0,0.0
