file,total_keyframes,Mute,Hold,Minor Adjustment,Hard Cut,avg_volume,min_volume,max_volume
2004.09.19.LH.VN.dong to to canh chay_0.csv,12252,3520,6032,156,2544,-31.34,-96.0,12.0
2004.09.19.LH.VN.dong to to canh chay_1.csv,12252,3520,6032,157,2543,-31.34,-96.0,12.0
2004.09.19.LH.VN.dong to to canh chay_10.csv,12422,3559,6117,183,2563,-31.31,-96.0,12.0
2004.09.19.LH.VN.dong to to canh chay_11.csv,12474,3561,6154,189,2570,-31.2,-96.0,12.0
2004.09.19.LH.VN.dong to to canh chay_12.csv,12498,3569,6166,193,2570,-31.2,-96.0,12.0
2004.09.19.LH.VN.dong to to canh chay_13.csv,12632,3580,6251,218,2583,-30.96,-96.0,12.0
2004.09.19.LH.VN.dong to to canh chay_14.csv,12636,3580,6254,219,2583,-30.95,-96.0,12.0
2004.09.19.LH.VN.dong to to canh chay_15.csv,12848,3580,6412,252,2604,-30.47,-96.0,12.0
2004.09.19.LH.VN.dong to to canh chay_16.csv,12886,3583,6435,264,2604,-30.41,-96.0,12.0
2004.09.19.LH.VN.dong to to canh chay_17.csv,12902,3583,6446,266,2607,-30.38,-96.0,12.0
2004.09.19.LH.VN.dong to to canh chay_18.csv,12906,3592,6442,265,2607,-30.44,-96.0,12.0
2004.09.19.LH.VN.dong to to canh chay_19.csv,12922,3592,6454,267,2609,-30.4,-96.0,12.0
2004.09.19.LH.VN.dong to to canh chay_2.csv,12253,3526,6030,157,2540,-31.4,-96.0,12.0
2004.09.19.LH.VN.dong to to canh chay_20.csv,12994,3594,6503,277,2620,-30.26,-96.0,12.0
2004.09.19.LH.VN.dong to to canh chay_21.csv,13010,3598,6512,279,2621,-30.26,-96.0,12.0
2004.09.19.LH.VN.dong to to canh chay_22.csv,13030,3598,6527,281,2624,-30.23,-96.0,12.0
2004.09.19.LH.VN.dong to to canh chay_3.csv,12258,3537,6024,158,2539,-31.49,-96.0,12.0
2004.09.19.LH.VN.dong to to canh chay_4.csv,12258,3537,6024,158,2539,-31.49,-96.0,12.0
2004.09.19.LH.VN.dong to to canh chay_5.csv,12270,3545,6027,159,2539,-31.52,-96.0,12.0
2004.09.19.LH.VN.dong to to canh chay_6.csv,12278,3551,6030,160,2537,-31.59,-96.0,12.0
2004.09.19.LH.VN.dong to to canh chay_7.csv,12330,3555,6063,164,2548,-31.5,-96.0,12.0
2004.09.19.LH.VN.dong to to canh chay_8.csv,12374,3559,6092,166,2557,-31.44,-96.0,12.0
2004.09.19.LH.VN.dong to to canh chay_9.csv,12382,3559,6096,170,2557,-31.42,-96.0,12.0
