clip,start_sec,end_sec,v_start_dB,v_end_dB,dv,dt,behavior
2004.09.19.LH.VN.dong to to canh chay,78.333,78.335,-96.0,-96.0,0.0,0.002,Mute / Hold
2004.09.19.LH.VN.dong to to canh chay,78.335,78.395,-96.0,-96.0,0.0,0.06,Mute / Hold
2004.09.19.LH.VN.dong to to canh chay,78.395,78.435,-96.0,3.0,99.0,0.04,Hard Cut
2004.09.19.LH.VN.dong to to canh chay,78.435,78.467,3.0,3.0,0.0,0.032,Hold
2004.09.19.LH.VN.dong to to canh chay,78.467,78.49,3.0,-21.0,-24.0,0.023,Hard Cut
2004.09.19.LH.VN.dong to to canh chay,78.49,78.506,-21.0,-21.0,0.0,0.016,Hold
2004.09.19.LH.VN.dong to to canh chay,78.506,78.529,-21.0,4.0,25.0,0.023,Hard Cut
2004.09.19.LH.VN.dong to to canh chay,78.529,78.581,4.0,4.0,0.0,0.052,Hold
2004.09.19.LH.VN.dong to to canh chay,78.581,78.591,4.0,-7.0,-11.0,0.009,Minor Adjustment
2004.09.19.LH.VN.dong to to canh chay,78.591,78.619,-7.0,-7.0,0.0,0.029,Hold
2004.09.19.LH.VN.dong to to canh chay,78.619,78.644,-7.0,5.0,12.0,0.025,Minor Adjustment
2004.09.19.LH.VN.dong to to canh chay,78.644,78.683,5.0,5.0,0.0,0.039,Hold
2004.09.19.LH.VN.dong to to canh chay,78.683,78.702,5.0,-96.0,-101.0,0.019,Hard Cut
2004.09.19.LH.VN.dong to to canh chay,78.702,78.734,-96.0,-96.0,0.0,0.033,Mute / Hold
2004.09.19.LH.VN.dong to to canh chay,78.734,78.785,-96.0,0.0,96.0,0.051,Minor Adjustment
2004.09.19.LH.VN.dong to to canh chay,78.785,78.994,0.0,0.0,0.0,0.209,Hold
2004.09.19.LH.VN.dong to to canh chay,78.994,79.01,0.0,-15.0,-15.0,0.016,Hard Cut
2004.09.19.LH.VN.dong to to canh chay,79.01,79.077,-15.0,-15.0,0.0,0.066,Hold
2004.09.19.LH.VN.dong to to canh chay,79.077,79.092,-15.0,0.0,15.0,0.015,Hard Cut
2004.09.19.LH.VN.dong to to canh chay,79.092,79.169,0.0,0.0,0.0,0.078,Hold
2004.09.19.LH.VN.dong to to canh chay,79.169,79.203,0.0,-19.0,-19.0,0.033,Hard Cut
2004.09.19.LH.VN.dong to to canh chay,79.203,79.242,-19.0,-19.0,0.0,0.039,Hold
2004.09.19.LH.VN.dong to to canh chay,79.242,79.275,-19.0,0.0,19.0,0.033,Hard Cut
2004.09.19.LH.VN.dong to to canh chay,79.275,79.341,0.0,0.0,0.0,0.066,Hold
2004.09.19.LH.VN.dong to to canh chay,79.341,79.366,0.0,-13.0,-13.0,0.025,Minor Adjustment
2004.09.19.LH.VN.dong to to canh chay,79.366,79.469,-13.0,-13.0,0.0,0.103,Hold
2004.09.19.LH.VN.dong to to canh chay,79.469,79.489,-13.0,0.0,13.0,0.02,Minor Adjustment
2004.09.19.LH.VN.dong to to canh chay,79.489,79.533,0.0,0.0,0.0,0.044,Hold
2004.09.19.LH.VN.dong to to canh chay,79.533,79.553,0.0,-21.0,-21.0,0.019,Hard Cut
2004.09.19.LH.VN.dong to to canh chay,79.553,79.597,-21.0,-21.0,0.0,0.044,Hold
2004.09.19.LH.VN.dong to to canh chay,79.597,79.617,-21.0,0.0,21.0,0.02,Hard Cut
2004.09.19.LH.VN.dong to to canh chay,79.617,79.815,0.0,-0.0,-0.0,0.198,Minor Adjustment
2004.09.19.LH.VN.dong to to canh chay,79.815,79.835,-0.0,-15.0,-15.0,0.02,Minor Adjustment
2004.09.19.LH.VN.dong to to canh chay,79.835,79.865,-15.0,-15.0,0.0,0.03,Hold
